id,dob,state,ela09,math09,sci09,hist09,ela10,math10,sci10,hist10
116,07/03/2006,UT,411,461,325,725,398,401,351,714
117,10/16/2006,FL,692,583,433,330,838,661,429,314
118,03/23/2006,WA,366,722,683,541,406,590,584,573
119,12/09/2006,NV,739,567,779,327,720,641,893,268
120,03/26/2006,DE,445,545,363,429,496,598,286,423
121,11/13/2006,WY,459,574,447,578,410,598,635,599
122,11/16/2006,CT,549,429,349,359,525,488,333,509
123,10/31/2006,SD,702,698,647,680,700,723,564,578
124,04/15/2006,GA,465,445,358,376,494,535,340,413
125,05/22/2006,IN,669,702,602,765,743,585,702,735
126,10/21/2006,NV,311,650,525,601,306,729,458,579
127,04/06/2006,CT,575,644,358,608,511,782,327,519
128,07/12/2006,AL,418,710,319,396,476,798,397,458
129,02/22/2006,NJ,339,647,393,322,278,567,422,322
130,10/22/2006,ND,614,646,397,703,579,646,458,598
131,06/21/2006,CA,390,522,450,597,345,409,350,611
132,06/22/2006,HI,346,358,657,648,264,386,644,593
133,03/13/2006,DE,632,523,447,398,565,597,432,364
134,08/25/2006,NY,750,746,360,358,754,646,342,322
135,05/13/2006,CA,651,774,650,588,733,815,551,546
136,07/17/2006,AK,556,469,696,782,603,347,655,740
137,12/21/2006,AL,450,689,319,643,394,626,243,607
138,11/17/2006,NE,443,754,417,344,383,703,367,302
139,01/20/2006,FL,536,643,560,554,569,652,633,594
140,05/21/2006,NJ,552,324,679,450,512,242,489,320
141,11/30/2006,UT,352,663,650,457,348,674,708,458
142,02/14/2006,WV,476,467,753,516,439,526,699,557
143,02/03/2006,MD,796,609,701,612,822,577,737,686
144,02/17/2006,MN,590,507,454,338,604,508,499,429
145,11/02/2006,SC,702,444,404,366,637,448,449,361
146,07/28/2006,SD,758,362,706,342,720,446,729,274
147,08/17/2006,ND,737,484,767,646,834,511,844,561
148,03/05/2006,NV,799,399,573,375,637,346,606,454
149,05/12/2006,NM,334,468,506,415,260,574,576,468
150,03/07/2006,OR,383,550,545,333,414,552,451,247
151,12/12/2006,OH,558,711,456,634,690,702,591,684
152,04/21/2006,SD,515,366,477,713,620,329,370,606
153,04/22/2006,CT,433,726,718,354,521,714,789,407
154,07/22/2006,NY,563,564,378,525,506,494,314,521
155,12/20/2006,AK,629,604,644,703,694,732,851,709
156,05/09/2006,ID,786,550,350,336,764,477,364,373
157,02/17/2006,NE,307,750,340,541,406,771,353,654
158,08/16/2006,MO,678,491,352,651,735,563,428,659
159,11/07/2006,KS,490,670,611,744,626,697,673,782
160,04/06/2006,AR,741,488,602,355,807,528,843,371
161,04/23/2006,CO,442,711,559,786,538,852,530,713
162,07/24/2006,KY,419,661,389,303,338,803,264,312
163,02/03/2006,SC,454,717,301,472,431,703,325,521
164,05/28/2006,WY,673,726,600,343,755,830,549,332
165,01/23/2006,MS,465,549,316,670,465,452,285,651
166,06/25/2006,AL,668,720,473,610,612,672,476,641
167,05/26/2006,MA,634,709,661,486,549,624,673,548
168,08/01/2006,ME,733,322,659,384,714,360,763,517
169,08/02/2006,CA,769,368,538,687,798,336,556,594
170,01/18/2006,OR,485,400,639,674,471,492,701,747
171,02/13/2006,ND,402,336,331,658,444,409,312,568
172,03/02/2006,NJ,468,439,408,765,471,436,431,732
173,09/16/2006,IL,354,635,523,799,378,675,532,805
174,05/28/2006,CA,444,392,377,490,428,330,393,536
175,12/22/2006,MO,796,791,416,491,846,936,415,500
176,07/21/2006,NJ,797,440,384,523,802,533,297,525
177,01/20/2006,SC,592,690,519,328,638,681,670,435
178,06/21/2006,TN,495,499,594,777,368,463,690,822
179,06/09/2006,HI,302,534,690,584,261,583,624,639
180,09/21/2006,MA,730,542,575,446,732,621,583,570
181,09/16/2006,NM,800,614,795,674,773,566,859,728
182,08/24/2006,MI,535,579,396,595,501,533,367,668
183,07/22/2006,NM,396,661,576,407,327,703,637,361
184,08/16/2006,MS,609,554,405,738,507,561,523,765
185,09/22/2006,OR,673,477,555,755,775,538,504,851
186,12/27/2006,MD,769,535,778,514,670,538,774,464
187,12/23/2006,DE,471,530,745,434,560,540,728,412
188,09/27/2006,KY,518,546,491,426,473,620,569,411
189,03/16/2006,MO,613,311,798,800,622,349,755,817
190,01/19/2006,IA,655,329,472,336,716,239,509,282
191,03/19/2006,NE,566,394,709,528,560,540,642,494
192,11/29/2006,AR,429,407,380,305,377,240,412,249
193,10/25/2006,MS,531,338,472,545,551,325,466,630
194,06/18/2006,UT,474,398,652,416,485,533,619,309
195,10/22/2006,FL,610,316,664,518,597,279,649,498
196,12/01/2006,WV,790,368,345,673,732,310,171,688
197,03/06/2006,CA,759,715,588,627,720,681,565,534
198,03/13/2006,MO,383,488,773,350,243,457,687,411
199,07/15/2006,MN,542,788,652,529,601,811,729,438
200,02/08/2006,NC,631,303,790,789,560,297,833,740
201,11/22/2006,MT,459,442,562,624,442,439,604,607
202,08/21/2006,WV,398,496,705,664,394,521,748,719
203,12/08/2006,WA,434,675,457,614,444,751,364,690
204,03/05/2006,IA,784,761,380,740,755,628,372,745
205,05/14/2006,DE,485,644,738,476,527,565,802,426
206,10/17/2006,RI,452,660,302,339,547,705,230,320
207,07/04/2006,WA,390,652,789,363,405,692,778,408
208,06/12/2006,NE,763,312,778,691,635,221,829,737
209,12/24/2006,MS,767,743,763,327,757,727,821,412
210,06/28/2006,NE,510,686,769,762,559,744,751,809
211,04/03/2006,AK,400,528,570,704,410,563,480,855
212,05/12/2006,FL,351,529,475,799,267,499,560,734
213,08/05/2006,CA,399,515,556,646,486,644,417,580
214,03/24/2006,WV,410,782,700,350,412,827,685,387
215,11/18/2006,MN,747,556,555,345,754,533,487,315
216,11/14/2006,DE,419,418,755,678,454,396,675,750
217,01/21/2006,CT,584,302,792,500,574,399,716,520
218,08/24/2006,IA,585,478,561,685,641,448,322,674
219,09/23/2006,ME,426,361,396,472,387,380,395,431
220,07/20/2006,FL,759,456,764,398,735,544,820,469
221,11/18/2006,MT,767,742,311,472,710,804,260,409
222,06/20/2006,TN,753,628,575,601,734,522,587,596
223,07/20/2006,UT,756,479,714,531,752,433,575,546
224,10/12/2006,UT,726,779,385,697,751,782,366,715
225,03/29/2006,VT,743,545,673,692,669,590,776,685
226,11/25/2006,CO,759,394,433,719,762,499,378,797
227,08/09/2006,HI,407,429,688,370,446,389,769,482
228,09/25/2006,SC,646,517,351,741,759,492,309,919
229,02/04/2006,NY,590,310,350,465,449,250,354,420
230,07/27/2006,TX,617,408,546,355,563,494,455,322
231,08/08/2006,NE,369,307,395,475,402,273,483,487
232,02/04/2006,IL,419,547,649,785,319,698,559,716
233,12/24/2006,VT,500,692,563,696,458,725,612,656
234,07/29/2006,NV,493,457,763,588,639,358,802,559
235,10/05/2006,MA,773,776,692,381,813,651,729,369
236,06/05/2006,WI,681,505,323,473,659,460,238,420
237,04/20/2006,AK,672,639,389,392,631,651,231,433
238,01/02/2006,NY,487,639,788,456,489,744,754,522
239,09/24/2006,IN,402,377,608,320,426,315,568,258
240,04/12/2006,MO,368,429,538,620,323,534,668,627
241,12/08/2006,NJ,515,671,634,476,543,710,646,444
242,07/22/2006,ID,681,652,483,395,635,603,380,549
243,02/18/2006,IN,319,691,318,589,341,718,328,652
244,09/22/2006,IA,672,451,355,787,620,445,442,737
245,01/15/2006,DE,321,647,480,488,339,748,484,568
246,08/21/2006,VA,368,735,779,426,293,832,849,310
247,11/24/2006,AZ,448,491,772,512,485,510,808,445
248,10/06/2006,MN,342,730,685,307,348,705,677,281
249,05/09/2006,MD,792,436,765,727,787,432,590,809
250,06/06/2006,RI,703,642,601,759,631,597,629,942
251,11/29/2006,KY,505,426,351,332,474,409,365,344
252,06/02/2006,UT,684,492,304,407,735,553,146,393
253,11/15/2006,FL,501,456,579,696,426,390,647,730
254,08/22/2006,NE,793,669,659,487,841,745,655,504
255,09/04/2006,WI,375,308,355,575,326,326,299,725
256,10/27/2006,WA,538,649,578,533,450,582,554,555
257,10/06/2006,OR,438,331,447,464,449,393,338,504
258,06/21/2006,SD,497,546,338,543,579,562,288,540
259,05/08/2006,WY,403,785,327,392,297,734,310,439
260,04/02/2006,SD,324,307,678,437,406,354,707,468
261,04/23/2006,MA,502,708,498,671,519,794,611,735
262,06/23/2006,ME,392,446,618,337,351,352,520,334
263,07/07/2006,ID,620,781,728,522,635,830,775,437
264,12/19/2006,AZ,554,656,391,797,557,668,237,870
265,04/09/2006,AR,490,795,600,765,598,871,637,730
266,07/21/2006,VT,369,767,309,552,362,663,369,519
267,02/02/2006,OR,723,394,765,378,661,511,786,510
268,05/12/2006,LA,458,524,785,346,490,575,591,360
269,08/30/2006,WI,534,683,417,680,587,678,458,660
270,08/31/2006,WI,391,314,594,570,406,409,579,583
271,09/24/2006,NC,544,658,462,592,567,556,511,592
272,07/27/2006,WI,453,655,628,434,294,535,518,475
273,07/02/2006,CT,375,541,462,304,355,683,365,281
274,12/15/2006,SC,539,579,754,718,499,682,716,825
275,07/10/2006,GA,721,441,381,309,733,511,419,413
276,12/01/2006,MT,780,639,791,621,775,480,896,651
277,01/10/2006,ME,745,632,682,723,854,605,440,668
278,10/23/2006,VT,627,599,354,308,623,596,246,346
279,06/23/2006,TN,612,602,315,469,569,558,228,427
280,08/27/2006,OK,513,503,328,338,538,517,288,277
281,01/22/2006,HI,670,564,357,782,529,536,262,693
282,10/08/2006,CO,719,381,585,683,605,315,585,699
283,11/28/2006,AL,716,329,568,591,726,395,532,393
284,08/21/2006,WV,729,489,436,578,728,571,354,613
285,05/16/2006,IL,345,548,378,656,309,467,322,727
286,07/13/2006,TN,400,448,523,619,443,393,400,594
287,02/17/2006,NY,500,718,331,717,525,728,302,671
288,04/24/2006,WA,494,761,695,792,511,757,793,704
289,06/20/2006,MO,571,363,554,316,544,362,545,232
290,08/06/2006,AK,461,500,398,315,423,597,415,252
291,04/15/2006,KS,501,795,301,672,515,762,125,656
292,06/03/2006,KY,663,536,526,738,656,500,563,748
293,06/16/2006,WV,786,625,762,776,747,691,843,815
294,12/30/2006,ME,784,508,430,598,823,481,423,480
295,04/06/2006,NY,719,542,376,646,685,636,308,605
296,04/01/2006,SC,480,573,782,417,484,552,857,426
297,12/13/2006,SC,738,320,695,632,681,423,626,620
298,07/06/2006,LA,457,544,745,358,384,506,784,339
299,04/15/2006,CT,563,692,567,632,604,661,556,691
300,07/31/2006,NY,347,551,621,600,380,581,710,587
301,11/01/2006,CT,494,655,798,344,509,715,750,429
302,06/30/2006,TX,485,619,323,637,423,681,359,735
303,01/08/2006,IL,330,627,700,643,335,573,731,642
304,06/17/2006,KY,545,472,308,769,635,443,270,734
305,05/18/2006,TN,361,473,609,548,330,509,608,590
306,10/19/2006,DE,330,348,449,483,249,353,460,531
307,02/01/2006,WV,622,315,602,535,633,265,656,518
308,04/29/2006,NM,437,439,746,341,445,528,675,247
309,07/13/2006,IN,558,573,522,798,612,478,495,695
310,09/22/2006,AZ,331,397,686,342,325,288,657,374
311,06/17/2006,AL,425,312,611,431,354,338,599,531
312,12/21/2006,NE,517,436,324,706,584,431,322,651
313,09/30/2006,OK,785,305,717,485,724,407,750,460
314,09/16/2006,HI,352,443,652,358,321,505,494,402
315,06/22/2006,OR,620,561,758,313,694,483,666,349
316,08/14/2006,ME,481,463,426,361,550,337,471,307
317,06/25/2006,KS,561,337,593,594,505,332,564,720
318,03/27/2006,FL,336,569,665,637,233,565,591,641
319,06/29/2006,LA,739,708,359,800,742,798,453,871
320,08/25/2006,CT,349,687,606,384,315,673,624,399
321,08/27/2006,MI,421,398,386,599,424,442,505,685
322,09/14/2006,NJ,673,344,715,409,606,374,863,344
323,07/21/2006,MN,393,659,793,426,369,597,720,429
324,07/10/2006,OH,737,329,455,657,772,372,563,634
325,02/01/2006,OH,369,751,789,702,401,724,713,693
326,08/08/2006,VA,662,484,519,728,591,465,607,736
327,02/08/2006,NJ,775,792,432,636,758,698,374,665
328,01/01/2006,CT,618,709,624,677,639,631,500,629
329,06/23/2006,MA,535,714,551,460,530,767,467,450
330,12/30/2006,OH,756,795,607,451,736,803,551,388
331,09/17/2006,DE,450,521,613,564,402,327,551,605
332,09/17/2006,NE,768,633,406,316,757,612,530,347
333,09/05/2006,ND,476,552,506,363,432,516,565,455
334,05/03/2006,OK,336,507,794,625,354,488,668,705
335,08/27/2006,ND,320,709,633,569,228,567,658,549
336,04/15/2006,FL,708,327,310,566,724,415,301,677
337,08/09/2006,OR,570,517,594,320,485,493,661,259
338,12/17/2006,PA,550,556,679,395,582,577,586,310
339,10/03/2006,ND,471,687,663,683,412,707,543,716
340,12/21/2006,IL,692,391,664,634,717,585,558,582
341,02/24/2006,AL,532,398,752,605,553,425,680,618
342,08/07/2006,WA,731,597,316,525,754,601,204,700
343,10/12/2006,VT,459,686,354,614,455,662,245,526
344,04/18/2006,KY,312,599,460,786,344,641,427,736
345,03/26/2006,GA,776,311,481,763,753,460,537,794
346,05/29/2006,SC,328,672,318,366,398,682,294,364
347,01/10/2006,DE,396,677,523,493,430,701,497,488
348,10/30/2006,NM,623,631,657,633,644,715,470,636
349,12/11/2006,MD,707,695,783,492,781,682,736,489
350,10/14/2006,MT,634,785,378,320,582,758,267,303
351,02/14/2006,MT,606,382,639,498,572,446,673,457
352,04/11/2006,IL,331,721,658,426,344,616,566,431
353,08/04/2006,WI,597,384,607,332,532,287,583,183
354,05/02/2006,LA,514,745,737,548,528,724,869,652
355,10/04/2006,CO,609,569,708,398,558,533,665,426
356,01/22/2006,OR,573,657,451,640,627,594,491,587
357,11/02/2006,OK,442,676,584,391,394,692,635,536
358,03/07/2006,VA,525,504,413,423,472,455,443,437
359,07/09/2006,MT,554,365,535,701,571,391,478,644
360,03/30/2006,CA,357,551,582,680,398,523,476,765
361,08/19/2006,OK,648,591,435,315,646,479,565,340
362,01/13/2006,SD,788,707,521,357,778,619,457,242
363,09/02/2006,NH,481,395,324,569,359,389,226,603
364,06/13/2006,NE,570,676,425,722,617,755,399,722
365,05/24/2006,TN,602,742,509,427,682,734,497,431
366,02/19/2006,KS,714,658,686,727,832,715,513,775
367,11/04/2006,MA,378,459,409,482,443,446,528,558
368,09/26/2006,ND,572,715,436,676,539,712,434,606
369,10/07/2006,MD,657,553,611,723,673,545,738,803
370,07/03/2006,NC,363,715,692,407,374,688,714,309
371,08/21/2006,SD,375,576,325,753,423,677,267,818
372,02/21/2006,UT,339,398,535,714,366,447,572,712
373,07/17/2006,MI,623,749,749,308,654,743,872,371
374,06/09/2006,FL,441,721,540,603,470,676,562,676
375,08/04/2006,MO,553,534,575,653,505,448,598,655
376,11/16/2006,KY,464,562,771,798,438,559,888,805
377,06/02/2006,MO,666,752,360,487,606,678,336,573
378,02/07/2006,ME,564,709,498,545,572,719,379,511
379,12/03/2006,IA,580,434,370,548,590,320,385,603
380,05/01/2006,TN,645,479,575,609,648,558,667,595
381,07/27/2006,RI,599,717,418,566,603,837,290,502
382,08/20/2006,MS,573,499,481,537,609,441,554,470
383,09/13/2006,VA,717,617,517,598,725,561,458,560
384,11/13/2006,NH,331,528,704,537,283,447,661,525
385,06/02/2006,WV,382,520,585,753,285,414,672,716
386,07/16/2006,MT,795,527,313,549,897,556,315,615
387,08/13/2006,WI,532,744,691,454,604,783,786,324
388,04/18/2006,NY,316,750,381,637,311,635,445,681
389,04/21/2006,HI,475,731,741,477,513,816,818,433
390,06/07/2006,TX,550,511,710,375,607,434,849,364
391,01/24/2006,IL,372,665,437,578,317,692,522,537
392,06/10/2006,MI,427,744,504,488,485,726,616,537
393,10/27/2006,RI,659,767,777,688,573,808,833,759
394,01/15/2006,NM,311,589,443,428,374,504,440,519
395,09/05/2006,VA,409,545,428,444,435,645,325,423
396,09/05/2006,IL,414,539,692,674,350,480,761,780
397,04/04/2006,RI,555,347,331,549,633,264,319,515
398,12/12/2006,OR,317,438,495,432,272,339,384,443
399,10/17/2006,AZ,345,662,599,754,314,617,557,786
400,08/12/2006,FL,751,309,416,368,764,315,516,263
401,02/24/2006,VT,725,510,676,526,662,551,707,475
402,01/09/2006,FL,636,724,633,736,485,690,756,826
403,05/27/2006,MN,694,758,725,404,714,671,613,380
404,02/16/2006,IL,730,471,516,305,724,546,531,265
405,08/25/2006,NV,646,396,425,749,731,383,371,770
406,09/10/2006,CT,675,747,546,685,525,641,605,585
407,03/22/2006,TX,451,596,735,313,540,589,649,389
408,03/02/2006,TN,603,573,763,613,658,445,759,649
409,04/11/2006,TX,328,558,641,500,328,589,636,515
410,06/19/2006,ID,528,402,796,359,454,390,799,317
411,05/13/2006,TN,403,574,646,609,353,570,654,613
412,02/20/2006,OK,549,392,613,706,595,370,697,634
413,04/09/2006,IA,602,524,700,465,610,461,830,481
414,12/14/2006,AL,639,661,516,368,601,688,473,345
415,01/17/2006,MI,792,370,408,556,853,302,391,529
416,12/17/2006,NV,677,353,583,748,692,396,569,883
417,11/26/2006,TX,518,797,774,366,445,834,761,447
418,06/11/2006,FL,436,305,608,480,411,182,600,476
419,09/12/2006,MN,579,433,546,785,611,383,585,750
420,12/11/2006,KS,378,344,495,554,421,349,518,530
421,12/07/2006,IN,351,443,723,465,465,337,611,386
422,11/19/2006,ME,484,756,457,649,495,739,424,647
423,07/01/2006,OK,648,752,608,371,612,694,516,322
424,03/14/2006,MI,548,391,463,718,572,354,560,702
425,12/01/2006,TN,421,384,338,732,435,494,464,658
426,07/04/2006,AL,699,548,386,341,658,577,358,408
427,10/13/2006,SD,463,335,673,699,446,188,587,685
428,11/06/2006,NV,728,486,564,491,836,543,541,501
429,01/05/2006,OR,800,712,633,379,898,580,575,345
430,05/16/2006,NJ,499,736,406,607,525,787,429,581
431,09/23/2006,OR,535,547,753,660,577,519,943,679
432,12/20/2006,VA,495,320,315,768,434,412,407,739
433,03/26/2006,IA,733,573,479,579,816,655,389,622
434,05/30/2006,AR,499,603,637,746,451,585,593,628
435,11/08/2006,MO,569,691,416,545,558,823,288,511
436,05/14/2006,LA,338,418,666,429,401,452,671,398
437,10/26/2006,NE,635,334,712,629,591,380,701,619
438,03/12/2006,IA,770,375,312,352,843,310,269,324
439,12/10/2006,ID,421,529,624,599,274,407,624,495
440,08/29/2006,OH,315,445,406,523,271,407,343,537
441,03/09/2006,NJ,331,372,399,332,386,365,412,492
442,11/18/2006,NV,588,446,446,537,680,315,312,495
443,04/26/2006,CT,495,688,688,582,536,633,689,610
444,01/12/2006,ND,431,493,691,567,370,465,721,612
445,11/19/2006,RI,584,750,759,559,550,704,796,579
446,12/09/2006,LA,404,676,435,533,434,665,372,456
447,07/21/2006,NY,556,593,693,468,534,520,728,337
448,05/21/2006,TX,554,605,798,347,476,702,829,422
449,02/17/2006,NV,372,327,738,481,353,269,717,534
450,03/14/2006,MO,710,635,651,396,652,655,589,340
451,11/28/2006,VA,423,724,572,412,451,740,478,525
452,09/24/2006,TN,618,364,531,337,607,436,392,380
453,07/14/2006,NJ,334,317,684,344,232,307,648,361
454,04/03/2006,VT,612,636,715,388,673,723,568,459
455,02/28/2006,CO,538,733,653,445,434,723,596,388
456,11/13/2006,LA,794,734,784,519,849,700,834,613
457,09/04/2006,NE,302,492,453,528,208,536,532,545
458,03/31/2006,IA,644,741,496,300,805,676,456,324
459,12/25/2006,OH,387,496,783,722,345,439,857,628
460,04/09/2006,MA,464,573,427,378,416,570,414,420
461,06/16/2006,WY,395,766,724,713,427,679,668,775
462,09/11/2006,TN,775,619,503,649,796,604,450,640
463,08/25/2006,KS,734,539,496,608,761,564,494,566
464,06/08/2006,MT,346,698,497,474,375,830,510,362
465,11/26/2006,SC,586,342,559,586,581,530,530,574
466,10/06/2006,SD,339,376,754,587,300,410,812,597
467,01/03/2006,NV,523,375,707,675,576,469,703,697
468,02/16/2006,MD,749,565,641,369,767,589,678,398
469,07/26/2006,MD,798,469,799,757,964,302,736,803
470,02/25/2006,MT,691,572,760,649,598,519,785,622
471,08/07/2006,NH,515,681,420,594,467,701,287,623
472,11/23/2006,MD,681,384,736,495,712,334,839,447
473,10/16/2006,NY,532,715,735,609,514,588,664,612
474,06/28/2006,HI,553,726,658,566,551,631,666,623
475,12/03/2006,OR,640,317,689,797,610,274,680,849
476,06/10/2006,MO,322,626,530,578,381,635,541,652
477,02/20/2006,HI,678,753,743,575,696,579,717,567
478,11/15/2006,ME,386,702,718,523,372,718,523,544
479,03/04/2006,AR,497,561,322,333,423,531,276,340
480,04/28/2006,NM,544,543,524,663,574,628,442,641
481,09/10/2006,MD,395,496,574,480,345,693,562,547
482,08/18/2006,CA,388,584,800,751,403,566,850,721
483,09/29/2006,TN,715,502,712,623,720,448,748,627
484,02/08/2006,WI,651,379,637,566,631,370,521,538
485,01/16/2006,UT,430,419,664,637,458,413,772,665
486,08/18/2006,UT,660,402,669,476,702,435,696,426
487,09/07/2006,OK,461,314,430,413,530,411,470,460
488,06/12/2006,CT,599,690,438,681,567,668,392,654
489,12/05/2006,NE,455,386,692,647,523,313,763,626
490,09/16/2006,DE,790,794,604,368,715,822,644,361
491,10/08/2006,ME,713,735,383,686,749,665,435,664
492,11/24/2006,VT,385,645,708,470,350,662,723,300
493,12/24/2006,RI,316,461,345,636,296,378,393,646
494,09/09/2006,MA,512,522,546,323,517,663,474,432
495,09/12/2006,HI,790,512,333,475,840,579,248,516
